match_id,wc_year,stage,date,home_team,away_team,home_goals,away_goals,aet,penalties,home_pen_goals,away_pen_goals,stadium,city,home_pre_match_elo,away_pre_match_elo,winning_team,result_type
WC1930_01,1930,Group Stage,1930-07-13,France,Mexico,4,1,No,No,0,0,Estadio Pocitos,Montevideo,1700,1500,France,Home Win
WC1930_02,1930,Group Stage,1930-07-13,United States,Belgium,3,0,No,No,0,0,Estadio Pocitos,Montevideo,1600,1680,United States,Home Win
WC1930_03,1930,Group Stage,1930-07-15,Yugoslavia,Brazil,2,1,No,No,0,0,Estadio Pocitos,Montevideo,1750,1700,Yugoslavia,Home Win
WC1930_04,1930,Group Stage,1930-07-16,Romania,Peru,3,1,No,No,0,0,Estadio Pocitos,Montevideo,1650,1600,Romania,Home Win
WC1930_05,1930,Group Stage,1930-07-17,Argentina,France,1,0,No,No,0,0,Estadio Parque Central,Montevideo,1900,1700,Argentina,Home Win
WC1930_06,1930,Group Stage,1930-07-18,Chile,Mexico,3,0,No,No,0,0,Estadio Pocitos,Montevideo,1620,1500,Chile,Home Win
WC1930_07,1930,Group Stage,1930-07-19,United States,Paraguay,3,0,No,No,0,0,Estadio Parque Central,Montevideo,1600,1550,United States,Home Win
WC1930_08,1930,Group Stage,1930-07-19,Yugoslavia,Bolivia,4,0,No,No,0,0,Estadio Pocitos,Montevideo,1750,1450,Yugoslavia,Home Win
WC1930_09,1930,Group Stage,1930-07-20,Uruguay,Peru,1,0,No,No,0,0,Estadio Centenario,Montevideo,1930,1600,Uruguay,Home Win
WC1930_10,1930,Group Stage,1930-07-21,Argentina,Mexico,6,3,No,No,0,0,Estadio Pocitos,Montevideo,1900,1500,Argentina,Home Win
WC1930_11,1930,Group Stage,1930-07-22,Chile,France,1,0,No,No,0,0,Estadio Gran Parque Central,Montevideo,1620,1700,Chile,Away Win
WC1930_12,1930,Group Stage,1930-07-22,Brazil,Bolivia,4,0,No,No,0,0,Estadio Pocitos,Montevideo,1700,1450,Brazil,Home Win
WC1930_13,1930,Group Stage,1930-07-26,Uruguay,Romania,4,0,No,No,0,0,Estadio Centenario,Montevideo,1930,1650,Uruguay,Home Win
WC1930_14,1930,Group Stage,1930-07-26,Argentina,Chile,3,1,No,No,0,0,Estadio Monumental,Montevideo,1900,1620,Argentina,Home Win
WC1930_15,1930,Group Stage,1930-07-28,Paraguay,Belgium,1,0,No,No,0,0,Estadio Parque Central,Montevideo,1550,1680,Paraguay,Home Win
WC1930_16,1930,Group Stage,1930-07-30,United States,Argentina,1,6,No,No,0,0,Estadio Centenario,Montevideo,1600,1900,Argentina,Away Win
WC1930_17,1930,Semi-final,1930-07-26,Uruguay,Yugoslavia,6,1,No,No,0,0,Estadio Centenario,Montevideo,1930,1750,Uruguay,Home Win
WC1930_18,1930,Final,1930-07-30,Uruguay,Argentina,4,2,No,No,0,0,Estadio Centenario,Montevideo,1930,1900,Uruguay,Home Win
WC1950_F1,1950,Group Stage,1950-06-24,Brazil,Mexico,4,0,No,No,0,0,Maracanã,Rio de Janeiro,1900,1520,Brazil,Home Win
WC1950_F2,1950,Group Stage,1950-06-25,Spain,United States,3,1,No,No,0,0,Estadio Independencia,Belo Horizonte,1820,1700,Spain,Home Win
WC1950_F3,1950,Group Stage,1950-06-25,England,Chile,2,0,No,No,0,0,Maracanã,Rio de Janeiro,1800,1720,England,Home Win
WC1950_F4,1950,Group Stage,1950-06-28,United States,England,1,0,No,No,0,0,Estadio Independencia,Belo Horizonte,1700,1800,United States,Away Win
WC1950_F5,1950,Group Stage,1950-06-29,Brazil,Switzerland,2,2,No,No,0,0,Estadio Pacaembu,São Paulo,1900,1730,Draw,Draw
WC1950_F6,1950,Group Stage,1950-07-02,Brazil,Yugoslavia,2,0,No,No,0,0,Maracanã,Rio de Janeiro,1900,1780,Brazil,Home Win
WC1950_F7,1950,Group Stage,1950-07-13,Uruguay,Bolivia,8,0,No,No,0,0,Estadio Independencia,Belo Horizonte,1990,1450,Uruguay,Home Win
WC1950_F8,1950,Final Round,1950-07-09,Brazil,Sweden,7,1,No,No,0,0,Maracanã,Rio de Janeiro,1900,1770,Brazil,Home Win
WC1950_F9,1950,Final Round,1950-07-13,Uruguay,Sweden,3,2,No,No,0,0,Estadio São Januário,Rio de Janeiro,1990,1770,Uruguay,Home Win
