team,confederation,wc_year,participation_status,group_or_pool,final_stage_reached,matches_played,wins,draws,losses,goals_scored,goals_conceded,goal_difference,points_earned,host_nation,wc_titles_before_tournament,consecutive_appearances,elo_rating_approx,fifa_ranking,notes
Uruguay,CONMEBOL,1930,qualified,Pool 1,Winner,4,4,0,0,15,3,12,8,Yes,0,1,1930,N/A,First ever WC winner
Argentina,CONMEBOL,1930,qualified,Pool 1,Runner-up,4,3,0,1,18,9,9,6,No,0,1,1900,N/A,Lost final 4-2 to Uruguay
United States,CONCACAF,1930,qualified,Pool 4,Third place,3,2,0,1,7,6,1,4,No,0,1,1600,N/A,Semi-finalists in first WC
Yugoslavia,UEFA,1930,qualified,Pool 2,Fourth place,3,2,0,1,7,7,0,4,No,0,1,1750,N/A,
France,UEFA,1930,qualified,Pool 1,Group stage,2,1,0,1,4,3,1,2,No,0,1,1700,N/A,Lost to Argentina; withdrew from Chile match
Brazil,CONMEBOL,1930,qualified,Pool 2,Group stage,2,1,0,1,5,2,3,2,No,0,1,1700,N/A,Only team to appear in every WC
Bolivia,CONMEBOL,1930,qualified,Pool 2,Group stage,2,0,0,2,0,8,-8,0,No,0,1,1450,N/A,
Romania,UEFA,1930,qualified,Pool 3,Group stage,2,1,0,1,3,5,-2,2,No,0,1,1650,N/A,
Peru,CONMEBOL,1930,qualified,Pool 3,Group stage,2,1,0,1,3,4,-1,2,No,0,1,1600,N/A,
Chile,CONMEBOL,1930,qualified,Pool 4,Group stage,2,2,0,0,5,3,2,4,No,0,1,1620,N/A,
Belgium,UEFA,1930,qualified,Pool 4,Group stage,2,0,0,2,0,5,-5,0,No,0,1,1680,N/A,
Paraguay,CONMEBOL,1930,qualified,Pool 3,Group stage,2,1,1,0,2,2,0,3,No,0,1,1550,N/A,
Mexico,CONCACAF,1930,qualified,Pool 1,Group stage,3,0,0,3,4,13,-9,0,No,0,1,1500,N/A,
Italy,UEFA,1934,qualified,,Winner,5,4,1,0,12,3,9,9,Yes,0,1,1950,N/A,Won on home soil
Czechoslovakia,UEFA,1934,qualified,,Runner-up,5,3,1,1,9,7,2,7,No,0,1,1800,N/A,
Germany,UEFA,1934,qualified,,Third place,4,3,0,1,11,8,3,6,No,0,2,1820,N/A,As West Germany post-1950
Austria,UEFA,1934,qualified,,Fourth place,4,3,0,1,15,8,7,6,No,0,1,1830,N/A,
Spain,UEFA,1934,qualified,,Quarter-finals,3,2,1,0,12,4,8,5,No,0,1,1780,N/A,
Hungary,UEFA,1934,qualified,,Quarter-finals,2,1,0,1,6,6,0,2,No,0,1,1800,N/A,
Switzerland,UEFA,1934,qualified,,Quarter-finals,3,2,0,1,5,4,1,4,No,0,1,1730,N/A,
Sweden,UEFA,1934,qualified,,Quarter-finals,2,1,0,1,4,5,-1,2,No,0,1,1700,N/A,
Argentina,CONMEBOL,1934,did_not_qualify,,,,,,,,,,,,No,0,,,Boycotted
Uruguay,CONMEBOL,1934,withdrew,,,,,,,,,,,,No,1,,,Defending champions; boycotted
Brazil,CONMEBOL,1934,qualified,,Round of 16,1,0,0,1,1,3,-2,0,No,0,4,1720,N/A,
Italy,UEFA,1938,qualified,,Winner,4,4,0,0,11,5,6,8,No,1,1,1990,N/A,Back-to-back titles
Hungary,UEFA,1938,qualified,,Runner-up,4,3,0,1,15,5,10,6,No,0,4,1830,N/A,
Brazil,CONMEBOL,1938,qualified,,Third place,5,4,0,1,14,11,3,8,No,0,5,1800,N/A,
Sweden,UEFA,1938,qualified,,Fourth place,4,3,0,1,11,7,4,6,No,0,4,1720,N/A,
