,R32_pct,R16_pct,QF_pct,SF_pct,Final_pct,Winner_pct
Brazil,100.0,99.25,89.28,71.75,58.13,39.75
Spain,100.0,99.63,91.89,76.03999999999999,62.2,28.54
England,99.99,94.51,65.27,18.01,11.31,5.7700000000000005
Netherlands,100.0,98.41,76.25999999999999,34.69,10.43,5.41
Belgium,100.0,97.15,47.69,10.57,7.7,4.64
Portugal,100.0,96.82,78.19,21.15,10.95,3.9899999999999998
France,100.0,98.36,83.12,53.22,13.930000000000001,3.5900000000000003
United States,99.53,84.96000000000001,36.7,15.89,6.03,2.7199999999999998
Argentina,99.98,96.35000000000001,71.67,48.5,6.239999999999999,2.2800000000000002
Mexico,99.72,76.99000000000001,40.660000000000004,20.599999999999998,7.7,2.04
Croatia,99.92999999999999,87.01,16.63,6.710000000000001,1.78,0.47000000000000003
Morocco,99.82,72.2,6.35,2.62,1.28,0.31
Germany,100.0,92.42,48.16,9.3,0.58,0.18
Colombia,97.39,73.52,5.86,1.67,0.61,0.13
Canada,99.07000000000001,52.04,15.18,3.8,0.59,0.08
Japan,97.31,18.3,1.28,0.25,0.06999999999999999,0.03
South Korea,99.47,47.3,5.72,0.98,0.13999999999999999,0.03
Uruguay,96.52,67.62,7.739999999999999,3.18,0.16999999999999998,0.02
Switzerland,99.92,68.99,5.140000000000001,0.33999999999999997,0.12,0.02
New Zealand,0.98,0.0,0.0,0.0,0.0,0.0
DR Congo,46.33,0.11,0.01,0.0,0.0,0.0
Iraq,3.25,0.0,0.0,0.0,0.0,0.0
Qatar,8.01,0.0,0.0,0.0,0.0,0.0
Uzbekistan,3.7699999999999996,0.01,0.0,0.0,0.0,0.0
Jordan,0.8200000000000001,0.0,0.0,0.0,0.0,0.0
South Africa,4.78,0.02,0.0,0.0,0.0,0.0
Tunisia,1.48,0.01,0.0,0.0,0.0,0.0
Ghana,25.8,0.13,0.02,0.0,0.0,0.0
Cape Verde,4.51,0.02,0.0,0.0,0.0,0.0
Bosnia-Herzegovina,31.85,0.16,0.01,0.0,0.0,0.0
Haiti,0.15,0.0,0.0,0.0,0.0,0.0
Panama,1.96,0.0,0.0,0.0,0.0,0.0
Saudi Arabia,28.18,0.18,0.02,0.0,0.0,0.0
Czechia,66.34,2.44,0.42,0.01,0.0,0.0
Scotland,91.29,2.53,0.53,0.05,0.0,0.0
Ivory Coast,87.42,2.92,0.09,0.0,0.0,0.0
Paraguay,76.53999999999999,6.92,0.44999999999999996,0.02,0.0,0.0
Sweden,91.53999999999999,5.92,1.05,0.06,0.02,0.0
Algeria,87.81,1.8499999999999999,0.06,0.01,0.0,0.0
Egypt,85.86,1.02,0.06,0.0,0.0,0.0
Norway,79.59,7.39,0.69,0.1,0.02,0.0
Senegal,96.09,10.27,0.9900000000000001,0.16999999999999998,0.0,0.0
Australia,43.7,2.86,0.21,0.02,0.0,0.0
Austria,96.28,12.19,0.9400000000000001,0.13,0.0,0.0
Ecuador,90.60000000000001,7.32,0.5599999999999999,0.03,0.0,0.0
Türkiye,61.72,7.720000000000001,0.62,0.06,0.0,0.0
Iran,93.06,6.18,0.48,0.06999999999999999,0.0,0.0
Curaçao,1.6400000000000001,0.0,0.0,0.0,0.0,0.0
